"NO","Date","Name","Email","Address","Phone","Pincode","Amount","payment","Status","Status update","Save"
"1","09-26-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","34255342345","23455","500","COD","cancelled","placed               pending               shipped               Delivered","Save"
"2","09-27-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","23455342","688537","1000","COD","shipped","placed               pending               shipped               Delivered","Save"
"3","09-28-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","453245453","688537","847","COD","placed","placed               pending               shipped               Delivered","Save"
"4","09-28-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","453245453","688537","847","COD","placed","placed               pending               shipped               Delivered","Save"
"5","09-28-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","453245453","688537","847","COD","cancelled","placed               pending               shipped               Delivered","Save"
"6","09-28-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","453245453","688537","847","COD","Returned","placed               pending               shipped               Delivered","Save"
"7","09-28-2022","abhinesh","abhinesh@gmail.com","nenmara palakkad","453245453","688537","847","COD","Returned","placed               pending               shipped               Delivered","Save"
"8","09-28-2022","Mohamed","akmal@gamail.com","Kiliyattupadikkal chandiroor","","688537","899","paypal","Returned","placed               pending               shipped               Delivered","Save"
"9","10-08-2022","Mohamed Akmal R","","","1654622","688537","3455","paypal","placed","placed               pending               shipped               Delivered","Save"
"10","10-08-2022","Abhinesh","","","7656785","688537","1263","paypal","delivered","placed               pending               shipped               Delivered","Save"
